id,bicycle,person,car,boat,bench
frame_2,False,False,False,False,False
frame_3,True,True,False,False,False
frame_4,False,True,False,False,True
frame_5,True,True,True,False,False
frame_6,True,True,False,True,False
frame_7,False,False,False,False,False
frame_15,False,False,False,True,False
frame_16,False,False,False,False,False
frame_17,False,True,False,False,False
frame_18,False,True,False,False,False
frame_19,False,False,False,True,False
frame_20,False,True,False,False,False
frame_21,False,False,False,False,False
frame_22,False,True,False,False,False
frame_23,False,True,True,False,False
frame_24,False,False,False,True,False
frame_25,False,True,True,False,True
frame_26,False,False,False,False,False
frame_43,False,True,False,False,False
frame_44,False,True,False,False,False
frame_45,False,True,False,False,False
frame_46,False,False,False,False,False
frame_47,False,True,False,False,False
frame_50,False,True,False,False,False
frame_52,False,True,False,False,False
frame_55,False,True,False,False,False
frame_56,False,False,False,False,False
frame_57,False,False,False,False,False
frame_58,False,False,False,False,False
