id,bicycle,person,car,boat,bench
frame_2,True,False,False,True,False
frame_3,True,True,False,True,True
frame_4,True,True,False,True,True
frame_5,True,True,True,True,False
frame_6,True,False,False,True,False
frame_7,True,True,True,True,True
frame_15,True,True,False,True,True
frame_16,True,True,False,True,True
frame_17,True,True,False,False,True
frame_18,False,False,False,False,False
frame_19,False,False,False,True,False
frame_20,False,True,False,False,False
frame_21,True,True,True,True,True
frame_22,False,True,False,False,True
frame_23,False,False,False,False,False
frame_24,False,True,False,True,True
frame_25,True,True,False,False,True
frame_26,True,True,True,True,True
frame_43,False,True,False,False,False
frame_44,False,False,False,False,True
frame_45,False,False,False,False,False
frame_46,False,False,False,True,False
frame_47,False,False,False,False,False
frame_50,False,False,False,False,False
frame_52,False,False,False,False,False
frame_55,True,True,True,True,True
frame_56,True,True,False,True,True
frame_57,True,True,True,True,True
frame_58,True,True,True,False,True
